Fecha de extracción,Ciudad,Nombre,Promoción (texto),Descuento normal (%),Rating,Reviews Number,Categoria,Link,Prime,Descuento prime,Tipo de reparto
2026-05-08,valencia,VICIO,-,-,97%,(500+),-,https://glovoapp.com/es/es/valencia/stores/vicio-valencia,No,-,Glovo
2026-05-08,valencia,McDonald's®,2x1 algunos productos,-,84%,(500+),-,https://glovoapp.com/es/es/valencia/stores/mcdonalds-val2,No,-,Glovo
2026-05-08,valencia,Amazonia Açaí,-,-,97%,(421),-,https://glovoapp.com/es/es/valencia/stores/amazonia-acai-valencia,No,-,Glovo
2026-05-08,valencia,Hundred Burgers,-,-,97%,(500+),-,https://glovoapp.com/es/es/valencia/stores/hundred-burgers-valencia,No,-,Glovo
2026-05-08,valencia,Healthy Poke,-25% algunos productos,-25,96%,(500+),-,https://glovoapp.com/es/es/valencia/stores/healthy-poke-valencia,No,-,Glovo
2026-05-08,malaga,VICIO,-,-,97%,(500+),-,https://glovoapp.com/es/es/malaga/stores/vicio-malaga,No,-,Glovo
2026-05-08,malaga,McDonald's,2x1 algunos productos,-,92%,(500+),-,https://glovoapp.com/es/es/malaga/stores/mcdonalds-mal2,No,-,Glovo
2026-05-08,malaga,Healthy Poke,2x1 algunos productos,-,94%,(500+),-,https://glovoapp.com/es/es/malaga/stores/health-poke-malaga,No,-,Glovo
2026-05-08,malaga,Urban Noodles,2x1 algunos productos,-,97%,(500+),-,https://glovoapp.com/es/es/malaga/stores/urban-noodles-malaga,No,-,Glovo
2026-05-08,malaga,Taco Bell,-50% algunos productos,-50,90%,(479),-,https://glovoapp.com/es/es/malaga/stores/taco-bell-mal,No,-,Glovo
2026-05-08,alicante,VICIO,-,-,98%,(500+),-,https://glovoapp.com/es/es/alicante/stores/vicio-alicante,No,-,Glovo
2026-05-08,alicante,McDonald's®,2x1 algunos productos,-,93%,(500+),-,https://glovoapp.com/es/es/alicante/stores/mcdonalds-ali,No,-,Glovo
2026-05-08,alicante,Amazonia Açaí,-,-,96%,(207),-,https://glovoapp.com/es/es/alicante/stores/amazonia-acai-alicante,No,-,Glovo
2026-05-08,alicante,Healthy Poke,2x1 algunos productos,-,92%,(488),-,https://glovoapp.com/es/es/alicante/stores/healthy-poke-alicante,No,-,Glovo
2026-05-08,alicante,Taco Bell,-50% algunos productos,-50,90%,(410),-,https://glovoapp.com/es/es/alicante/stores/taco-bell-alc,No,-,Glovo
2026-05-08,sevilla,VICIO,-,-,98%,(500+),-,https://glovoapp.com/es/es/sevilla/stores/vicio-sevilla,No,-,Glovo
2026-05-08,sevilla,McDonald's®,2x1 algunos productos,-,88%,(500+),-,https://glovoapp.com/es/es/sevilla/stores/mcdonalds-sev2,No,-,Glovo
2026-05-08,sevilla,Five Guys,-,-,94%,(500+),-,https://glovoapp.com/es/es/sevilla/stores/fiveguyssev,No,-,Glovo
2026-05-08,sevilla,Taco Bell,-50% algunos productos,-50,93%,(190),-,https://glovoapp.com/es/es/sevilla/stores/taco-bell-sevilla,No,-,Glovo
2026-05-08,sevilla,Bacanal,-,-,94%,(409),-,https://glovoapp.com/es/es/sevilla/stores/bacanal-sevilla,No,-,Glovo
2026-05-08,madrid,VICIO,-,-,97%,(500+),-,https://glovoapp.com/es/es/madrid/stores/vicio-madrid,No,-,Glovo
2026-05-08,madrid,Amazonia Açaí,-,-,95%,(131),-,https://glovoapp.com/es/es/madrid/stores/amazonia-acai-malasana-madrid,No,-,Glovo
2026-05-08,madrid,McDonald's®,2x1 algunos productos,-,92%,(500+),-,https://glovoapp.com/es/es/madrid/stores/mcdonalds-madrid2,No,-,Glovo
2026-05-08,madrid,Tierra Burrito,-,-,95%,(500+),-,https://glovoapp.com/es/es/madrid/stores/tierra-burrito,No,-,Glovo
2026-05-08,madrid,Honest Greens,-,-,93%,(500+),-,https://glovoapp.com/es/es/madrid/stores/honest-greens,No,-,Glovo
2026-05-08,barcelona,VICIO,-,-,97%,(500+),-,https://glovoapp.com/es/es/barcelona/stores/vicio-barcelona,No,-,Glovo
2026-05-08,barcelona,Honest Greens,-,-,96%,(500+),-,https://glovoapp.com/es/es/barcelona/stores/honest-greens-bcn,No,-,Glovo
2026-05-08,barcelona,McDonald's®,2x1 algunos productos,-,93%,(500+),-,https://glovoapp.com/es/es/barcelona/stores/mcdonalds-bcn2,No,-,Glovo
2026-05-08,barcelona,KFC,-50% algunos productos,-50,96%,(428),-,https://glovoapp.com/es/es/barcelona/stores/kfc-barcelona,No,-,Glovo
2026-05-08,barcelona,Healthy Poke,2x1 algunos productos,-,93%,(500+),-,https://glovoapp.com/es/es/barcelona/stores/healthy-poke-barcelona,No,-,Glovo
2026-05-08,las-palmas-de-gran-canaria,McDonald's®,2x1 algunos productos,-,93%,(500+),-,https://glovoapp.com/es/es/las-palmas-de-gran-canaria/stores/mcdonalds-lpa2,No,-,Glovo
2026-05-08,las-palmas-de-gran-canaria,La Garriga Bocadillos,-,-,99%,(458),-,https://glovoapp.com/es/es/las-palmas-de-gran-canaria/stores/la-garriga-bocadillos-las-palmas-de-gran-canaria,No,-,Glovo
2026-05-08,las-palmas-de-gran-canaria,Más Que Xurros Café,-,-,98%,(500+),-,https://glovoapp.com/es/es/las-palmas-de-gran-canaria/stores/mas-que-xurros-cafe-las-palmas-de-gran-canaria,No,-,Glovo
2026-05-08,las-palmas-de-gran-canaria,KFC,-,-,95%,(311),-,https://glovoapp.com/es/es/las-palmas-de-gran-canaria/stores/kfc-las-palmas-de-gran-canaria,No,-,Glovo
2026-05-08,las-palmas-de-gran-canaria,Taco Bell,-50% algunos productos,-50,92%,(363),-,https://glovoapp.com/es/es/las-palmas-de-gran-canaria/stores/taco-bell-las-palmas-de-gran-canaria,No,-,Glovo
