Fecha de extracción,Hora ejecución,Timestamp ejecución,Ciudad,Nombre,Promoción (texto),Descuento normal (%),Rating,Reviews Number,Categoria,Link,Prime,Descuento prime,Tipo de reparto
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,valencia,Buga Ramen,-,-,84%,(34),-,https://glovoapp.com/es/es/valencia/stores/buga-ramen-valencia,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,valencia,La Más Bonita Llévame,-,-,99%,(71),-,https://glovoapp.com/es/es/valencia/stores/la-mas-bonita,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,valencia,PANOU | Torrijas artesanas,-,-,100%,(22),-,https://glovoapp.com/es/es/valencia/stores/panou-torrijas-artesanas-valencia,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,valencia,Bastard Coffee & Kitchen,-,-,98%,(208),-,https://glovoapp.com/es/es/valencia/stores/bastard-coffee-kitchen,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,valencia,Begin,-,-,88%,(85),-,https://glovoapp.com/es/es/valencia/stores/begin-valencia,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,malaga,Lasagna Mi,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/lasagnami-malaga,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,malaga,Starbucks,-30% algunos productos,-30,93%,(106),-,https://glovoapp.com/es/es/malaga/stores/starbucks-malaga,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,malaga,Captain Candy Shop,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/captain-candy-shop-malaga,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,malaga,De Nata,-,-,100%,(13),-,https://glovoapp.com/es/es/malaga/stores/de-nata-malaga,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,malaga,El Secreto De Las Chinitas,-,-,--,-,-,https://glovoapp.com/es/es/malaga/stores/el-secreto-de-las-chinitas-malaga,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,alicante,Kebab Rey,-,-,--,-,-,https://glovoapp.com/es/es/alicante/stores/kebab-rey,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,alicante,Pizzería Rey,-,-,--,-,-,https://glovoapp.com/es/es/alicante/stores/pizzeria-rey-alicante,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,alicante,Restaurante el Rollito,-,-,100%,(12),-,https://glovoapp.com/es/es/alicante/stores/restaurante-el-rollito-alicante,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,alicante,Latindoggs,-,-,90%,(25),-,https://glovoapp.com/es/es/alicante/stores/latindoggs-alicante,No,-,Glovo
2026-05-09,00:48:34,2026-05-09 00:48:34 CEST,alicante,Wokamama,-,-,--,-,-,https://glovoapp.com/es/es/alicante/stores/honest-burgers-alicante,No,-,Glovo
